CARDIO	0
PIERNAS	1
ESPALDA	2
ABDOMINALES	3
PECHO	4
HOMBROS	5
BRAZOS	6
EJERCICIOS ESPECIALES	7
VARIOS	8
JUEGOS	9
Barra de bloque horizontal	0	0.6	2
Subirse a una barra fija con manos muy cerca o distanciadas	1	0.6	2
Subirse a una barra fija con manos muy distanciadas	1	0.4	2
Hiperextensión	0.6	0.7	2
Hiperextensión en máquinas	1	0.7	2
Barra de bloque vertica con manos cerca y distanciadas	0	0.6	2
Barra de bloque vertical con manos muy distanciadas	0	0.4	2
Pullover tumbado	0	0.7	2
Pullover en máquina	0	0.6	2
Trapecio (se encoge de hombros) de pie	0	0.1	2
Barra de tiro/pesas con inclinaciones	0.2	0.4	2
Barra en forma de T tumbado	0	0.4	2
Barra en forma de T inclinado	0.2	0.4	2
Flexión/extensión del cuello tumbado	0.05 	0.15	2
Subir la spiernas rectas (cualquire)	0.4	1	3
Subir las piernas dobladas (cualquiera)	0.4	0.5	3
Torcer (amplitud completa)	0.6 	0.6	3
Torcer (amplitud parcial)	0.6 	0.3	3
Torcer con el bloque superior	0	0.3	3
Torcer en la máquina	0	0.3	3
Inclinaciones laterales a través de un equipo deportivo	0.5	0.3	3
Girar el cuerpo con un palo	0.1	0.2	3
Inclinaciones laterales con pesas de pie	0.1	0.3	3
Doblado (cualquiera)	0.5	0.7	3
Peso horizontal tumbado (cualquiera)	0	0.5	4
Peso tumbado con un ángulo (cualquiera)	0	0.5	4
Flexiones de suelo manos distanciadas	0.6 	0.4	4
Flexiones de banquillo manos distanciadas	0.4	0.3	4
Separara los brazos con pesas tumbado	0.1	0.6	4
Peso en la máquina de pecho sentado	0	0.5	4
Juntar las manos en la máquina	0	0.6	4
Juntar las manos en crossover (cualquiera)	0	0.6	4
Peso de pie o sentado con manos medio distanciadas	0	0.5	5
Peso de pie o sentado con manos distanciadas	0	0.4	5
Avanzar hasta la barbilla	0.1	0.6	5
Movimientos de piernas adelante (cualquiera)	0.05 	0.8	5
Movimientos con  las piernas laterales de pie(cualquiera)	0.05 	0.7	5
Movimientos con las piernas laterales inclinado (cualquiera)	0.05 	0.7	5
Peso arriba en la máquina sentado	0	0.5	5
Separar los brazos atrás en la máquina	0	0.5	5
Flexiones de barra 1	0.5	6
Barra con manos cerca	0	0.5	6
Barra francesa (cualquiera)	0	0.4	6
Extención de brazos con el bloque superior	0.75	0.4	6
Flexiones del suelo manos cerca	0.6 	0.5	6
Flexiones del banquillo manos detrás	0.5	0.5	6
Extensión de brazos con pesas inclinado	0.2	0.4	6
Flexión de los brazos de pie (cualquiera)	0	0.4	6
Flexión de los brazos sentado (cualquiera)0	0.4	6
Flexión/extensión de articulación de muñeca	0	0.1	6
Tiro de barra clásicoРывок штанги классический	0.75	1.8	7
Empuje de barra clásico 0.75	2	7
Barra en el pecho 	0.75	1.5	7
Tiro de los bastidores y shvung	0.75	0.6	7
Peso de tiro	0.75	0.5	7
Peso de empuje	0.75	0.6	7
Tiro de peso 	0.3	2	7
Empuje de pesoТолчок гирь	0	0.6	7
Empuje de peso (ciclo largo)	0.3	2	7
Pesos sobre cabeza	0.3	2	7
